Id,Timestamp,Payee,Amount,Currency,Category
1001,2025-04-01,Salary,3500,USD,Income
2001,2025-04-02,Starbucks,-7.05,USD,Food
3001,2025-04-03,Kroger,-102.3.40,USD,Groceries
4001,2025-04-04,Shell Gas,-46.30,USD,Transport
5001,2025-04-05,Amazon,-97.25,USD,Shopping
6001,2025-04-06,Netflix,-15.99,U3SD,Entertainment
7001,2025-04-07,Electric Co,-68.20,USD,Utilities
8001,2025-04-08,Local Bakery,-10.75,USD,Food
9001,2025-04-09,Uber,-21.60,USD,Transport
101,2025-04-10,Freelance Payment,510,USD,Income
111,2025-04-12,Target,-53.40,USD,Groceries
121,2025-04-14,Spotify,-10.99,USD,Entertainment
131,2025-04-15,Home Rent,-1200,USD,Housing
141,2025-04-17,Pharmacy,-30.50,USD,Health
151,12025-04-18,Subway,-8.90,USD,Food
161,2025-04-20,Water Utility,-28.75,USD,Utilities
171,2025-04-22,PayPal Fee,-3.30,USD,Fees
181,2025-04-23,Gym Membership,-45.00,USD,Fitness
191,2025-04-26,Apple Store,-134.90,USD,Shopping
201,2025-04-320,Interest Income,25.10,USD,Income
