Id,Timestamp,Payee,Amount,Currency,Category
21,2025-02-01,Salary,3500,USD,Income
22,2025-02-02,Starbucks,-7.25,USD,Food
23,2025-02-03,Kroger,-98.40,USD,Groceries
24,2025-02-04,Shell Gas,-45.00,USD,Transport
25,2025-02-05,Amazon,-112.80,USD,Shopping
26,2025-02-06,Netflix,-15.99,USD,Entertainment
27,2025-02-07,Electric Co,-70.60,USD,Utilities
28,2025-02-09,Local Bakery,-11.50,USD,Food
29,2025-02-10,Uber,-19.25,USD,Transport
30,2025-02-11,Freelance Payment,520,USD,Income
31,2025-02-13,Target,-46.80,USD,Groceries
32,2025-02-14,Spotify,-10.99,USD,Entertainment
33,2025-02-15,Home Rent,-1200,USD,Housing
34,2025-02-17,Pharmacy,-29.75,USD,Health
35,2025-02-18,McDonald's,-9.80,USD,Food
36,2025-02-20,Water Utility,-27.60,USD,Utilities
37,2025-02-22,PayPal Fee,-3.50,USD,Fees
38,2025-02-23,Gym Membership,-45.00,USD,Fitness
39,2025-02-26,Apple Store,-142.90,USD,Shopping
30,2025-02-28,Interest Income,24.90,USD,Income
