Id,Timestamp,Payee,Amount,Currency,Category
1,2025-01-02,Salary,3500,USD,Income
2,2025-01-03,Starbucks,-6.75,USD,Food
3,2025-01-04,Walmart,-124.60,USD,Groceries
4,2025-01-05,Shell Gas,-42.15,USD,Transport
5,2025-01-06,Netflix,-15.99,USD,Entertainment
6,2025-01-07,Amazon,-89.40,USD,Shopping
7,2025-01-08,Electric Co,-63.20,USD,Utilities
8,2025-01-09,Local Diner,-18.30,USD,Food
9,2025-01-10,Uber,-23.75,USD,Transport
10,2025-01-11,Freelance Payment,450,USD,Income
11,2025-01-13,Target,-54.10,USD,Groceries
12,2025-01-14,Spotify,-10.99,USD,Entertainment,
13,2025-01-15,Home Rent,-1200,USD,Housing
14,2025-01-17,Pharmacy,-32.40,USD,Health
15,2025-01-19,Subway,-8.60,USD,Food
16,2025-01-21,Water Utility,-28.10,USD,Utilities
17,2025-01-23,PayPal Fee,-3.25,USD,Fees
18,2025-01-25,Gym Membership,-45.00,USD,Fitness
19,2025-01-27,Apple Store,-130.50,USD,Shopping
20,2025-01-31,Interest Income,25.30,USD,Income
